0x21ea0335dfb9dc14761424438ecb6d6dd318c526c77ab6fac75383b41848d8fe, 0.672
0x688296676b933bff31f4297285abe00c63a597b1df3392a84141fe54789e0ad4, 0.162
0xc1e57a64a9eae08737f7cacc912ac43cc6d9a6dbdcb69441755330bd96e5c7ba, 0.445
0x01fb24dba8405f932bd18a8e359b52d631aa226e9294ff9ae057576df9e084eb, 0.245
0x5238d9349b2348b65c95f051df429553378668d69aa85efbf5b8487c3c4ab26c, 0.697
0x3ec4c68b7cde782da271e46b045d320aecaa8fdceaba448fcb5a84290d4636ac, 0.387
0xc3043695f2c9f8485a65ab0a9d3760de7f5018f918da5c33e852d42448f25f70, 0.779
0xd2882e56b57f3c98c91607451801230a197952e4db81c93af5f194f73259e2df, 0.835
0xfccbae5d6ecb80932a5c5b9074cc12f285012c53e00d0f170d63171d749be5ef, 0.188
0x85fa9386c2f811637f0e61197a462631855c077e203f015e7a11cea5c372cfa6, 0.291
0xad56ffe5dcc31d0f0b270d2d44663b24e3756ad029bb897db511b4745a98f2de, 1.199
0xaf18bdad4d0107432fbda323d733f921facda7f4081c4f89a65bb2c37915166b, 0.786
0x1191bc011a0b743cadfeea02c20202cd6bc66da8cad77376df0f4f57eb507e3e, 1.123
0x6dc145c84526ed7f840926dec26dbcaf595a24f629bbb068a49dc0687d637fac, 0.607
0x210cda5f6342e7d925b63b76c9d4ddffe36180ee269eb9e64bd6a676d0c5bcdb, 0.892
0x0548ee640528c8be6f0559e14b0ccb298c8a066d52b7f56e7950188dcc516bc1, 1.093
0xd8e50eb338d44f730898bca8e81db1ca8d135a3c5000cf8210548990ee712d81, 0.949
0xf27afeaf92e37503043f882ad71e5916adb211b84eab4bff4d877d3cf4d8aebe, 0.526
0x6c15af6ffa11a8e6be5146c17739cf08d1b7a71e6e9d4627af8017b0c4e77eb5, 0.078
0xcf35a1791df68df7c4a3de3293271da63440670aa21aabc84cb42726a99ebb5f, 0.371
0x6a6448c7cd236f0b42b1ae8d1f8c14e862d89a31996978df014d5b7c9d573de2, 0.882
0x41bdebf8367fe56feb661611974435f100eea288dc737cb69f466199faaea42d, 0.658
